Date,tavg,pcp,county
201909,61.6,2.76,Cattaraugus
201910,50.9,4.84,Cattaraugus
201911,33.4,3.14,Cattaraugus
201912,30.1,3.73,Cattaraugus
202001,28.4,3.21,Cattaraugus
202002,27.7,3.76,Cattaraugus
202003,39.5,3.4,Cattaraugus
202004,41.3,3.21,Cattaraugus
202005,53.7,3.38,Cattaraugus
202006,64.7,2.91,Cattaraugus
202007,71.6,5.69,Cattaraugus
202008,67.5,2.18,Cattaraugus
202009,58.9,2.19,Cattaraugus
202010,48.9,4.84,Cattaraugus
202011,42.6,2.86,Cattaraugus
202012,29.9,4.13,Cattaraugus
202101,26.2,1.98,Cattaraugus
202102,22.1,1.72,Cattaraugus
202103,36.8,1.52,Cattaraugus
202104,45.7,3.76,Cattaraugus
202105,53.8,2.48,Cattaraugus
202106,66.5,3.99,Cattaraugus
202107,67.8,8.6,Cattaraugus
202108,70.2,5.52,Cattaraugus
202109,61.7,4.29,Cattaraugus
202110,56.4,5.78,Cattaraugus
202111,37.3,2.81,Cattaraugus
202112,34.8,3.21,Cattaraugus
202201,17.8,2.9,Cattaraugus
202202,24.5,4.26,Cattaraugus
202203,35,2.88,Cattaraugus
202204,44.3,3.79,Cattaraugus
202205,58.2,4.14,Cattaraugus
202206,64.3,2.55,Cattaraugus
202207,68.2,3.83,Cattaraugus
202208,67.8,4.06,Cattaraugus
202209,60.6,5.83,Cattaraugus
202210,47.4,2.47,Cattaraugus
202211,40.6,4.66,Cattaraugus
202212,28.4,2.94,Cattaraugus
202301,32,4.04,Cattaraugus
202302,31.1,2.49,Cattaraugus
202303,32.8,3.51,Cattaraugus
202304,48.2,3.2,Cattaraugus
202305,53,1.79,Cattaraugus
202306,61.8,2.74,Cattaraugus
202307,69,4.82,Cattaraugus
202308,65.5,3.58,Cattaraugus
202309,61.1,1.91,Cattaraugus
202310,52,3.99,Cattaraugus
202311,37,2.31,Cattaraugus
202312,36.1,3.29,Cattaraugus
202401,27.4,4.49,Cattaraugus
202402,31.9,1.77,Cattaraugus
202403,37.7,2.56,Cattaraugus
202404,47.2,5.98,Cattaraugus
202405,59.8,3,Cattaraugus
202406,65.8,5.58,Cattaraugus
202407,69.3,2.58,Cattaraugus
202408,66.7,4.05,Cattaraugus
202409,62.8,3.69,Cattaraugus
202410,50,2.58,Cattaraugus
202411,42.2,3.91,Cattaraugus
202412,28,3.3,Cattaraugus
202501,19.2,2.23,Cattaraugus
202502,23.3,3.06,Cattaraugus
202503,38.3,2.29,Cattaraugus
202504,46,4.42,Cattaraugus
202505,54.8,6.16,Cattaraugus
202506,67.2,5.43,Cattaraugus
202507,71.4,2.54,Cattaraugus
202508,64.6,2.46,Cattaraugus
202509,60.8,1.18,Cattaraugus
202510,49.5,5.2,Cattaraugus
202511,36.4,4.34,Cattaraugus
202512,23.3,4.22,Cattaraugus
201601,25,1.85,Cayuga
201602,27.6,4.56,Cayuga
201603,38.3,2.15,Cayuga
201604,40.4,2.25,Cayuga
201605,56,2.66,Cayuga
201606,64.7,1.83,Cayuga
201607,71.4,1.69,Cayuga
201608,72.6,3.85,Cayuga
201609,63.8,3.53,Cayuga
201610,51.5,8.1,Cayuga
201611,41.5,2.86,Cayuga
201612,28.6,3.45,Cayuga
201701,29.4,3.27,Cayuga
201702,33.2,2.81,Cayuga
201703,29.4,3.51,Cayuga
201704,49.3,5.3,Cayuga
201705,54.4,5.32,Cayuga
201706,64.7,4.14,Cayuga
201707,68.8,6.53,Cayuga
201708,66.4,2.65,Cayuga
201709,62.6,2.42,Cayuga
201710,55.9,6.62,Cayuga
201711,37.3,3.47,Cayuga
201712,24.6,2.27,Cayuga
201801,20.4,3.92,Cayuga
201802,31.1,2.35,Cayuga
